code,name,industry,Accuracy,Precision,Score
SH600563,法拉电子,元器件,0.92 ,0.91,11
SH600809,山西汾酒,白酒,0.67 ,0.75,8
SH600060,海信视像,家用电器,0.58 ,0.62,8
SH600426,华鲁恒升,农药化肥,0.5 ,0.62,8
SH600067,冠城大通,电气设备,0.5 ,0.5,8
SZ002039,黔源电力,水力发电,0.58 ,0.86,7
SH600527,江南高纤,化纤,0.5 ,0.57,7
SH600660,福耀玻璃,汽车配件,0.5 ,0.57,7
SZ002056,横店东磁,元器件,0.67 ,1.0,6
SH600992,贵绳股份,钢加工,0.67 ,0.83,6
SZ000419,通程控股,百货,0.5 ,0.67,6
SH600081,东风科技,汽车配件,0.5 ,0.5,6
SH600123,兰花科创,煤炭开采,0.5 ,0.5,6
SH600305,恒顺醋业,食品,0.75 ,1.0,5
SH600493,凤竹纺织,纺织,0.67 ,1.0,5
SH600470,六国化工,农药化肥,0.67 ,0.8,5
SH600861,北京城乡,百货,0.67 ,0.8,5
SH600210,紫江企业,广告包装,0.58 ,0.8,5
SZ000823,超声电子,元器件,0.5 ,0.8,5
SH600594,益佰制药,中成药,0.5 ,0.8,5
SH600367,红星发展,化工原料,0.67 ,0.6,5
SH600183,生益科技,元器件,0.58 ,0.6,5
SH600467,好当家,渔业,0.58 ,0.6,5
SH600874,创业环保,环境保护,0.58 ,0.6,5
SH600969,郴电国际,水力发电,0.58 ,0.6,5
